Name,AvgCountLine,AvgCountLineBlank,AvgCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgEssential,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,MaxCyclomatic,MaxInheritanceTree,PercentLackOfCohesion,RatioCommentToCode,CountInputMin,CountInputMean,CountInputMax,CountOutputMin,CountOutputMean,CountOutputMax,CountPathMin,"CountPathMean-divided-by-1,000","CountPathMax-divided-by-1,000,000",MaxNestingMin,MaxNestingMean,MaxNestingMax,Bugs
AbstractPrimitiveObjectInspector.java,7.0,0.0,3.0,1.0,1.0,1.0,2.0,7.0,3.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,20.0,1.04,1.0,3.0,8.0,1.0,1.75,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AbstractPrimitiveWritableObjectInspector.java,4.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,17.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AbstractRecordWriter.java,13.0,0.0,1.0,3.0,3.0,1.0,1.3333333333333333,16.333333333333332,1.0,3.0,1.0,3.0,4.0,7.0,8.0,1.3333333333333333,27.666666666666668,0.21,0.0,3.611111111111111,9.0,0.0,4.222222222222222,16.0,0.0,0.0,0.0,0.0,0.8888888888888888,3.0,0.0
AbstractRowContainer.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.0,4.875,7.0,0.0,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AbstractSMBJoinProc.java,41.0,4.0,10.0,4.0,4.0,3.0,2.0,48.0,4.0,1.0,0.0,0.0,2.0,7.0,12.0,2.0,0.0,0.42,0.0,5.1,8.0,1.0,13.4,28.0,0.0,0.0,0.0,0.0,1.4,3.0,0.0
AbstractSSHCommand.java,3.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,82.0,0.38,3.0,5.3,9.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AbstractSSHResult.java,5.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,71.0,0.43,1.0,3.8333333333333335,8.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AbstractSemanticAnalyzerHook.java,4.0,0.0,0.0,1.0,1.0,1.0,2.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.21,3.0,3.0,3.0,0.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AbstractSerDe.java,11.0,0.0,8.0,1.0,1.0,1.0,3.0,12.0,26.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,67.0,2.77,1.0,9.555555555555555,33.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AbstractSerializer.java,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.75,0.0,0.0,0.0,0.0,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AbstractService.java,9.0,0.0,4.0,1.0,1.0,1.0,2.0,10.0,4.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,78.0,1.13,1.0,5.454545454545454,10.0,1.0,2.1818181818181817,6.0,1.0,0.0,0.0,0.0,0.1818181818181818,1.0,0.0
AbstractStorageFormatDescriptor.java,4.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.43,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AbstractTestAuthorizationApiAuthorizer.java,9.0,0.0,1.0,1.0,1.0,1.0,1.9,6.1,0.2,11.0,1.0,0.0,1.0,1.0,4.0,1.0,8.8,0.24,0.0,1.8571428571428568,16.0,0.0,1.9523809523809523,13.0,0.0,0.0,0.0,0.0,0.1428571428571428,2.0,0.0
AbstractTestGenericUDFOPNumeric.java,12.0,1.0,2.0,1.0,1.0,1.0,1.0,12.0,6.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.67,12.0,12.0,12.0,6.0,6.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AbstractTestParquetDirect.java,7.0,0.0,0.0,1.0,1.0,1.0,1.0,19.5,1.5,3.0,7.0,0.0,1.0,0.0,3.0,1.5,66.5,0.15,0.0,9.461538461538462,23.0,0.0,2.8461538461538463,8.0,0.0,0.0,0.0,0.0,0.2307692307692307,2.0,0.0
AbstractTestPhase.java,10.0,0.0,0.0,1.0,1.0,1.0,1.0,27.0,6.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,72.0,0.17,2.0,10.5,24.0,2.0,9.0,31.0,1.0,0.0,0.0,0.0,0.1666666666666666,1.0,0.0
AbstractVectorDesc.java,3.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,12.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,33.0,1.13,0.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AccumuloCompositeRowId.java,13.0,3.0,3.0,1.0,1.0,1.0,1.0,9.0,0.5,1.0,0.0,0.0,0.0,0.0,2.0,4.5,25.0,1.5,1.0,4.0,6.0,5.0,7.333333333333333,9.0,1.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0
AccumuloConnectionParameters.java,9.0,1.0,2.0,2.0,2.0,1.0,1.0,13.5,0.5,1.0,0.0,3.0,0.0,0.0,4.0,1.0,35.5,0.35,0.0,4.818181818181818,15.0,1.0,3.590909090909091,6.0,1.0,0.0,0.0,0.0,0.3636363636363636,2.0,0.0
AccumuloHiveConstants.java,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AccumuloHiveRow.java,8.0,0.0,0.0,2.0,2.0,2.0,1.3333333333333333,8.333333333333334,0.0,2.0,0.0,0.0,0.0,0.0,10.0,1.0,22.666666666666668,0.14,0.0,4.0,10.0,1.0,3.727272727272727,10.0,1.0,0.0,0.0,0.0,0.7272727272727273,3.0,0.0
AccumuloPredicateHandler.java,19.0,2.0,5.0,3.0,3.0,2.0,1.0,67.0,0.0,1.0,1.0,0.0,2.0,1.0,7.0,1.0,54.5,0.36,1.0,6.15,20.0,1.0,12.375,32.0,1.0,0.0,0.0,0.0,0.575,2.0,0.0
