Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxInheritanceTree,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,CountInputMin,CountInputMean,CountInputMax,CountOutputMin,CountOutputMean,CountOutputMax,CountPathMin,CountPathMean,CountPathMax,MaxNestingMin,MaxNestingMean,MaxNestingMax,Bugs
File,AbstractMapJoinTableContainer.java,4.0,0.0,4.0,0.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,2.0,4.0,3.0,1.0,4.0,0.0,0.0,3.0,1.0,51.0,8.0,25.0,14.0,9.0,18.0,14.0,19.0,13.0,7.0,1.0,1.0,1.0,1.0,25.0,0.72,4.0,4.0,4.0,4.0,1.0,3.0,5.0,1.0,2.6666666666666665,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
File,AbstractMapOperator.java,7.0,0.0,6.0,1.0,2.0,2.0,2.0,1.0,3.0,24.0,2.0,2.0,0.0,1.0,14.0,16.0,7.0,16.0,0.0,1.0,2.0,13.0,178.0,30.0,99.0,50.0,42.0,49.0,54.0,74.0,44.0,38.0,6.0,6.0,7.0,2.0,80.0,0.49,17.0,17.0,20.0,11.0,1.0,3.6666666666666665,13.0,0.0,2.4166666666666665,10.0,0.0,2.25,18.0,0.0,0.4166666666666667,2.0,0.0
File,AbstractOperatorDesc.java,4.0,0.0,4.0,0.0,1.0,1.0,1.0,1.0,2.0,8.0,30.0,1.0,0.0,0.0,16.0,16.0,7.0,16.0,0.0,0.0,0.0,16.0,115.0,23.0,75.0,42.0,19.0,17.0,29.0,46.0,30.0,16.0,1.0,1.0,1.0,1.0,87.0,0.23,16.0,16.0,16.0,16.0,0.0,3.25,12.0,1.0,1.125,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
File,AbstractOutputFormat.java,12.0,1.0,11.0,0.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,0.0,0.0,4.0,4.0,0.0,4.0,3.0,0.0,0.0,1.0,50.0,8.0,17.0,8.0,8.0,25.0,11.0,14.0,8.0,7.0,2.0,2.0,2.0,1.0,0.0,1.47,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.5,6.0,0.0,0.5,2.0,0.0,0.25,1.0,0.0
File,AbstractParquetMapInspector.java,10.0,1.0,9.0,0.0,3.0,3.0,3.0,2.0,1.3333333333333333,7.666666666666667,1.0,1.0,0.0,0.0,13.0,13.0,2.0,13.0,0.0,0.0,0.0,13.0,173.0,26.0,134.0,48.0,68.0,13.0,57.0,90.0,37.0,58.0,10.0,10.0,10.0,1.6666666666666667,20.666666666666668,0.1,33.0,33.0,33.0,30.0,0.0,1.8421052631578947,7.0,1.0,3.0,7.0,1.0,2.1052631578947367,13.0,0.0,0.3157894736842105,2.0,0.0
File,AbstractPrimitiveJavaObjectInspector.java,4.0,0.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,19.0,1.0,0.0,0.0,5.0,5.0,0.0,5.0,0.0,0.0,2.0,3.0,49.0,6.0,23.0,12.0,5.0,20.0,7.0,13.0,8.0,5.0,1.0,1.0,1.0,2.0,0.0,0.87,5.0,5.0,5.0,5.0,0.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
File,AbstractPrimitiveLazyObjectInspector.java,4.0,0.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,17.0,1.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,0.0,2.0,2.0,48.0,6.0,22.0,13.0,4.0,20.0,9.0,14.0,10.0,4.0,2.0,2.0,2.0,2.0,0.0,0.91,5.0,5.0,5.0,4.0,0.0,4.0,8.0,1.0,1.5,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
File,AbstractPrimitiveObjectInspector.java,7.0,0.0,4.0,3.0,1.0,1.0,1.0,1.0,2.0,7.0,3.0,1.0,0.0,0.0,10.0,10.0,1.0,10.0,0.0,0.0,2.0,8.0,107.0,13.0,46.0,25.0,10.0,48.0,15.0,26.0,16.0,10.0,1.0,1.0,1.0,1.0,20.0,1.04,10.0,10.0,10.0,10.0,1.0,3.0,8.0,1.0,1.75,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
File,AbstractPrimitiveWritableObjectInspector.java,4.0,0.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,17.0,1.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,0.0,2.0,2.0,46.0,6.0,20.0,11.0,4.0,20.0,6.0,11.0,7.0,4.0,1.0,1.0,1.0,2.0,0.0,1.0,4.0,4.0,4.0,4.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
File,AbstractRecordWriter.java,12.0,0.0,11.0,1.0,2.0,2.0,2.0,1.0,1.6666666666666667,17.666666666666668,0.6666666666666666,3.0,1.0,1.0,21.0,20.0,14.0,21.0,2.0,5.0,7.0,7.0,300.0,31.0,224.0,93.0,112.0,46.0,120.0,157.0,87.0,84.0,8.0,8.0,8.0,1.0,28.666666666666668,0.21,37.0,37.0,38.0,16.0,0.0,3.2222222222222223,8.0,0.0,4.222222222222222,13.0,0.0,1.6111111111111112,6.0,0.0,0.7222222222222222,2.0,0.0
