,index,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxNesting,RatioCommentToCode,SumCyclomatic,Bugs
636,640,DropPartitionsRequest.java,12.0,1.0,12.0,1.0,3.0,6.0,3.0,17.0,73.0,71.0,70.0,19.0,73.0,1.0,2.0,0.0,70.0,1112.0,133.0,946.0,189.0,621.0,57.0,456.0,673.0,167.0,547.0,26.0,3.0,0.06,245.0,0.0
654,658,DummyRawStoreControlledCommit.java,5.0,0.0,5.0,0.0,1.0,1.0,1.0,1.0,120.0,120.0,119.0,1.0,120.0,0.0,0.0,0.0,120.0,791.0,128.0,632.0,380.0,132.0,31.0,158.0,280.0,162.0,118.0,2.0,1.0,0.05,121.0,0.0
655,659,DummyRawStoreForJdoConnection.java,5.0,1.0,5.0,0.0,1.0,1.0,0.0,0.0,118.0,118.0,118.0,0.0,118.0,0.0,0.0,0.0,118.0,809.0,206.0,576.0,357.0,102.0,27.0,139.0,258.0,160.0,99.0,1.0,0.0,0.05,118.0,0.0
731,735,EncodedReaderImpl.java,20.0,1.0,17.0,3.0,4.0,14.0,11.0,5.0,59.0,59.0,48.0,30.0,59.0,0.0,22.0,0.0,37.0,1365.0,96.0,1044.0,308.0,697.0,248.0,554.0,771.0,280.0,561.0,38.0,6.0,0.24,220.0,1.0
732,736,EncodedTreeReaderFactory.java,9.0,0.0,8.0,0.0,2.0,30.0,15.0,0.0,152.0,153.0,138.0,135.0,153.0,1.0,14.0,0.0,138.0,1836.0,271.0,1492.0,504.0,779.0,73.0,607.0,914.0,386.0,569.0,16.0,3.0,0.05,290.0,0.0
741,745,ErrorMsg.java,8.0,0.0,6.0,2.0,2.0,1.0,9.0,7.0,27.0,25.0,18.0,272.0,27.0,0.0,7.0,0.0,20.0,786.0,72.0,627.0,483.0,111.0,88.0,101.0,153.0,60.0,108.0,9.0,4.0,0.14,46.0,1.0
749,753,ExampleUseCase.java,56.0,13.0,22.0,21.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,11.0,1.0,0.0,0.0,0.0,1.0,99.0,19.0,41.0,26.0,21.0,39.0,30.0,32.0,24.0,13.0,1.0,0.0,0.95,1.0,0.0
750,754,Exec.java,10.0,0.0,8.0,2.0,2.0,2.0,0.0,4.0,199.0,197.0,199.0,46.0,199.0,33.0,0.0,0.0,166.0,2361.0,219.0,1669.0,485.0,916.0,477.0,735.0,1123.0,395.0,828.0,12.0,4.0,0.29,382.0,1.0
773,777,ExplainTask.java,33.0,3.0,29.0,1.0,8.0,3.0,2.0,2.0,27.0,27.0,25.0,3.0,27.0,0.0,14.0,0.0,13.0,1006.0,114.0,826.0,200.0,533.0,66.0,382.0,584.0,187.0,465.0,50.0,7.0,0.08,206.0,1.0
833,837,FileOutputCommitterContainer.java,37.0,3.0,28.0,7.0,6.0,1.0,1.0,9.0,24.0,24.0,23.0,10.0,24.0,0.0,15.0,0.0,9.0,1019.0,107.0,726.0,198.0,486.0,193.0,321.0,476.0,186.0,362.0,30.0,8.0,0.27,138.0,1.0
837,841,FileSinkOperator.java,26.0,2.0,19.0,5.0,5.0,4.0,1.0,4.0,40.0,40.0,41.0,63.0,42.0,2.0,12.0,9.0,19.0,1259.0,132.0,900.0,250.0,556.0,238.0,477.0,667.0,253.0,465.0,24.0,7.0,0.26,187.0,1.0
898,902,Function.java,13.0,1.0,12.0,1.0,3.0,6.0,3.0,13.0,76.0,74.0,73.0,19.0,76.0,1.0,2.0,0.0,73.0,1199.0,129.0,1013.0,198.0,650.0,81.0,474.0,710.0,176.0,575.0,26.0,4.0,0.08,263.0,0.0
903,907,FunctionRegistry.java,19.0,1.0,13.0,5.0,4.0,1.0,55.0,14.0,56.0,56.0,1.0,0.0,56.0,2.0,2.0,0.0,52.0,1611.0,169.0,1142.0,338.0,759.0,303.0,679.0,868.0,312.0,643.0,24.0,5.0,0.27,206.0,1.0
920,924,GenMapRedUtils.java,38.0,3.0,25.0,10.0,5.0,2.0,46.0,1.0,48.0,48.0,2.0,0.0,48.0,5.0,4.0,0.0,39.0,1987.0,209.0,1294.0,439.0,857.0,488.0,668.0,938.0,388.0,722.0,42.0,6.0,0.38,239.0,1.0
925,929,GenSparkWork.java,111.0,10.0,63.0,38.0,11.0,1.0,0.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,290.0,28.0,161.0,57.0,100.0,101.0,94.0,122.0,58.0,76.0,21.0,7.0,0.63,22.0,1.0
929,933,GenTezWork.java,87.0,8.0,56.0,23.0,10.0,1.0,0.0,1.0,5.0,5.0,5.0,1.0,5.0,0.0,3.0,0.0,2.0,506.0,51.0,317.0,94.0,217.0,138.0,191.0,250.0,96.0,184.0,45.0,7.0,0.44,51.0,1.0
931,935,GenVectorCode.java,20.0,1.0,18.0,1.0,3.0,1.0,10.0,2.0,97.0,97.0,87.0,9.0,97.0,6.0,86.0,0.0,5.0,3225.0,381.0,2557.0,1497.0,2259.0,287.0,1138.0,1400.0,632.0,1003.0,74.0,2.0,0.11,277.0,1.0
937,941,GenericUDAFAverage.java,12.0,1.0,11.0,1.0,2.0,8.0,1.0,1.0,32.0,39.0,38.0,12.0,39.0,0.0,1.0,23.0,15.0,460.0,56.0,364.0,157.0,185.0,40.0,167.0,223.0,120.0,120.0,16.0,3.0,0.11,72.0,1.0
941,945,GenericUDAFComputeStats.java,15.0,2.0,13.0,1.0,2.0,17.0,0.0,3.0,66.0,70.0,70.0,80.0,70.0,0.0,2.0,23.0,45.0,1391.0,232.0,1020.0,370.0,601.0,156.0,588.0,729.0,285.0,502.0,17.0,4.0,0.15,147.0,1.0
946,950,GenericUDAFCovarianceSample.java,36.0,2.0,34.0,1.0,15.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,123.0,10.0,87.0,24.0,53.0,28.0,19.0,30.0,13.0,17.0,26.0,2.0,0.32,29.0,0.0
1180,1184,HBaseReadWrite.java,17.0,0.0,12.0,5.0,3.0,6.0,4.0,37.0,128.0,128.0,124.0,26.0,128.0,92.0,29.0,1.0,6.0,2571.0,201.0,1714.0,691.0,1140.0,658.0,1007.0,1359.0,654.0,1044.0,16.0,4.0,0.38,330.0,1.0
1189,1193,HBaseStore.java,16.0,0.0,15.0,1.0,3.0,2.0,3.0,1.0,140.0,140.0,137.0,10.0,140.0,3.0,18.0,0.0,119.0,2511.0,198.0,2175.0,690.0,1369.0,141.0,1016.0,1446.0,501.0,1078.0,11.0,6.0,0.06,382.0,1.0
1197,1201,HBaseUtils.java,19.0,0.0,15.0,3.0,3.0,4.0,65.0,4.0,67.0,67.0,2.0,5.0,67.0,46.0,19.0,0.0,2.0,1423.0,89.0,1099.0,350.0,725.0,235.0,597.0,845.0,317.0,660.0,24.0,3.0,0.21,234.0,0.0
1209,1213,HCatConstants.java,2.0,0.0,2.0,1.0,1.0,1.0,0.0,73.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,211.0,35.0,89.0,86.0,75.0,88.0,77.0,79.0,79.0,2.0,1.0,0.0,0.99,1.0,1.0
1240,1244,HCatSemanticAnalyzer.java,86.0,11.0,63.0,13.0,36.0,1.0,0.0,0.0,4.0,4.0,4.0,2.0,4.0,0.0,1.0,1.0,2.0,406.0,52.0,288.0,70.0,214.0,68.0,95.0,128.0,63.0,86.0,68.0,4.0,0.24,143.0,0.0
1258,1262,HWISessionItem.java,13.0,0.0,9.0,4.0,2.0,2.0,0.0,1.0,35.0,33.0,35.0,19.0,35.0,0.0,2.0,2.0,31.0,610.0,62.0,370.0,94.0,217.0,182.0,181.0,262.0,91.0,183.0,18.0,9.0,0.49,75.0,0.0
1260,1264,Hadoop23Shims.java,9.0,0.0,8.0,1.0,2.0,18.0,3.0,3.0,128.0,128.0,125.0,26.0,128.0,0.0,10.0,2.0,116.0,1504.0,186.0,1188.0,467.0,580.0,137.0,503.0,739.0,350.0,453.0,8.0,4.0,0.12,230.0,1.0
1265,1269,HadoopShims.java,3.0,0.0,2.0,1.0,1.0,18.0,1.0,0.0,14.0,111.0,116.0,10.0,117.0,27.0,0.0,0.0,90.0,749.0,102.0,239.0,208.0,7.0,411.0,155.0,179.0,172.0,7.0,2.0,1.0,1.72,9.0,1.0
1283,1287,HbaseMetastoreProto.java,9.0,0.0,8.0,1.0,2.0,166.0,642.0,344.0,3207.0,3579.0,2945.0,505.0,3587.0,380.0,374.0,156.0,2677.0,34901.0,1793.0,26948.0,8280.0,14622.0,6160.0,11184.0,16711.0,5471.0,11694.0,29.0,4.0,0.23,5600.0,0.0
