,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxNesting,RatioCommentToCode,SumCyclomatic,Bugs
3641,TestTimestampColumnVector.java,28.0,2.0,26.0,0.0,5.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,117.0,15.0,66.0,36.0,40.0,36.0,50.0,61.0,38.0,34.0,6.0,2.0,0.55,10.0,0.0
3642,TestTimestampParser.java,20.0,2.0,17.0,2.0,1.0,2.0,2.0,0.0,7.0,7.0,5.0,2.0,7.0,2.0,0.0,0.0,5.0,181.0,24.0,129.0,87.0,74.0,30.0,37.0,51.0,36.0,21.0,3.0,2.0,0.23,10.0,0.0
3643,TestTimestampWritable.java,13.0,1.0,11.0,1.0,2.0,2.0,18.0,6.0,31.0,31.0,13.0,2.0,31.0,0.0,18.0,1.0,12.0,495.0,67.0,380.0,153.0,228.0,50.0,224.0,285.0,133.0,211.0,5.0,3.0,0.13,58.0,0.0
3644,TestTimestampWritableAndColumnVector.java,25.0,2.0,23.0,0.0,5.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,68.0,11.0,37.0,23.0,18.0,20.0,28.0,34.0,24.0,16.0,5.0,2.0,0.54,5.0,0.0
3645,TestToInteger.java,19.0,3.0,16.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,48.0,8.0,23.0,17.0,13.0,17.0,18.0,20.0,16.0,13.0,1.0,0.0,0.74,1.0,0.0
3646,TestTransaction.java,7.0,1.0,6.0,0.0,1.0,1.0,0.0,2.0,8.0,8.0,8.0,3.0,8.0,0.0,0.0,0.0,8.0,112.0,20.0,75.0,40.0,27.0,17.0,43.0,53.0,29.0,24.0,2.0,1.0,0.23,9.0,0.0
3647,TestTransactionStatement.java,8.0,1.0,7.0,0.0,1.0,1.0,2.0,1.0,7.0,7.0,5.0,1.0,7.0,1.0,0.0,0.0,6.0,101.0,11.0,70.0,35.0,31.0,20.0,42.0,51.0,29.0,27.0,2.0,1.0,0.29,8.0,1.0
3648,TestTrivialExecService.java,39.0,0.0,37.0,2.0,5.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,69.0,3.0,46.0,16.0,29.0,20.0,24.0,30.0,14.0,18.0,5.0,2.0,0.43,5.0,0.0
3649,TestTxnCommands.java,15.0,0.0,14.0,1.0,2.0,3.0,0.0,3.0,29.0,27.0,29.0,8.0,29.0,1.0,7.0,0.0,21.0,512.0,14.0,443.0,160.0,311.0,67.0,318.0,369.0,141.0,282.0,5.0,2.0,0.15,44.0,1.0
3650,TestTxnCommands2.java,23.0,1.0,18.0,4.0,2.0,4.0,5.0,3.0,30.0,28.0,25.0,15.0,30.0,1.0,11.0,0.0,18.0,785.0,47.0,623.0,206.0,442.0,132.0,453.0,529.0,194.0,404.0,8.0,2.0,0.21,65.0,1.0
3651,TestTxnHandlerNegative.java,20.0,0.0,15.0,5.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,49.0,3.0,24.0,13.0,11.0,22.0,15.0,18.0,12.0,9.0,2.0,1.0,0.92,2.0,0.0
