Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs
TestVectorGenericDateExpressions.java,24.0,2.0,22.0,0.0,4.0,3.0,4.0,1.0,1.0,33.0,33.0,0.0,1.0,0.0,0.0,29.0,0.0,29.0,29.0,4.0,29.0,29.0,0.0,18.0,0.0,11.0,249.0,763.0,83.0,663.0,171.0,497.0,17.0,259.0,4.0,422.0,529.0,175.0,415.0,3.0,16.0,8.0,16.0,1.0,3.0,77.0,41.0,0.03,108.0,92.0,112.0,29.0,0.0
TezJobMonitor.java,31.0,2.0,23.0,5.0,4.0,4.0,5.0,1.0,2.0,53.0,53.0,0.0,2.0,4.0,14.0,22.0,0.0,22.0,18.0,15.0,22.0,22.0,0.0,12.0,0.0,10.0,147.0,817.0,86.0,594.0,205.0,420.0,137.0,163.0,2.0,327.0,423.0,194.0,295.0,2.0,26.0,20.0,30.0,2.0,5.0,44.0,41.0,0.23,98.0,92.0,112.0,30.0,1.0
TypeConverter.java,17.0,1.0,16.0,0.0,4.0,2.0,5.0,2.0,26.0,153.0,153.0,4.0,3.0,14.0,1.0,16.0,0.0,16.0,2.0,0.0,16.0,128.0,0.0,0.0,0.0,16.0,214.0,352.0,28.0,303.0,86.0,211.0,21.0,156.0,1.0,170.0,204.0,80.0,142.0,1.0,20.0,4.0,21.0,3.0,2.0,0.0,0.0,0.07,69.0,31.0,72.0,36.0,0.0
TypeInfoUtils.java,25.0,1.0,20.0,4.0,4.0,4.0,5.0,2.0,5.0,67.0,67.0,0.0,4.0,22.0,4.0,32.0,0.0,32.0,10.0,9.0,32.0,35.0,0.0,9.0,0.0,23.0,319.0,942.0,78.0,709.0,198.0,479.0,155.0,199.0,3.0,335.0,461.0,183.0,346.0,3.0,23.0,21.0,26.0,2.0,4.0,33.0,33.0,0.22,137.0,121.0,168.0,75.0,1.0
UDFJson.java,23.0,1.0,19.0,3.0,6.0,6.0,7.0,4.0,4.0,29.0,29.0,0.0,3.0,0.0,13.0,9.0,0.0,9.0,9.0,4.0,9.0,18.0,1.0,3.0,1.0,4.0,39.0,314.0,29.0,236.0,88.0,135.0,49.0,54.0,1.5,115.0,167.0,69.0,121.0,1.5,14.0,14.0,21.0,2.0,5.0,0.0,0.0,0.21,52.0,52.0,59.0,36.0,0.0
Utils.java,17.0,1.0,13.0,3.0,4.0,4.0,5.0,2.0,188.0,2811.0,2811.0,4.0,1.0,15.0,0.0,15.0,0.0,15.0,0.0,0.0,15.0,1460.0,1.0,0.0,0.0,14.0,8820.0,296.0,27.0,206.0,46.0,131.0,63.0,8590.0,2.0,96.0,152.0,48.0,126.0,2.0,8.0,8.0,14.0,2.0,4.0,0.0,0.0,0.31,56.0,56.0,82.0,36.0,1.0
VectorizationContext.java,22.0,1.0,19.0,2.0,5.0,4.0,6.0,3.0,6.0,352.0,352.0,1.0,5.0,19.0,7.0,95.0,0.0,93.0,76.0,19.0,95.0,213.0,5.0,45.0,3.0,42.0,743.0,2506.0,252.0,2004.0,550.0,1427.0,251.0,973.0,1.0,1062.0,1450.0,523.0,1126.0,2.0,23.0,23.0,38.0,2.0,6.0,0.0,0.0,0.13,492.0,381.0,569.0,240.0,1.0
ZooKeeperHiveLockManager.java,25.0,2.0,19.0,3.0,4.0,4.0,5.0,2.0,3.0,48.0,48.0,0.0,2.0,6.0,6.0,28.0,0.0,28.0,22.0,5.0,28.0,28.0,1.0,14.0,0.0,13.0,186.0,778.0,94.0,567.0,149.0,362.0,118.0,190.0,3.0,258.0,380.0,133.0,296.0,3.0,17.0,16.0,20.0,2.0,5.0,43.0,34.5,0.21,118.0,115.0,127.0,57.0,1.0
AbstractFilterStringColLikeStringScalar.java,12.0,1.0,11.0,1.0,3.0,3.0,3.0,2.0,12.0,35.0,35.0,2.0,9.0,0.0,1.0,23.0,0.0,26.0,26.0,14.0,26.0,35.0,7.0,1.0,1.0,17.0,65.0,429.0,56.0,296.0,86.0,156.0,77.0,44.0,1.0,139.0,217.0,92.0,127.0,1.0,24.0,24.0,24.0,2.0,5.0,0.0,0.0,0.26,68.0,68.0,68.0,39.0,0.0
AddDynamicPartitions.java,10.0,0.0,9.0,1.0,3.0,2.0,3.0,2.0,11.0,55.0,55.0,0.0,6.0,3.0,9.0,56.0,0.0,54.0,53.0,11.0,56.0,48.0,1.0,2.0,0.0,53.0,171.0,739.0,97.0,613.0,148.0,363.0,41.0,152.0,1.0,292.0,430.0,133.0,320.0,1.0,14.0,14.0,28.0,2.0,4.0,0.0,0.0,0.07,146.0,131.0,163.0,84.0,0.0
AddPartitionsRequest.java,11.0,1.0,10.0,1.0,3.0,2.0,3.0,2.0,11.0,58.0,58.0,0.0,6.0,3.0,12.0,61.0,0.0,59.0,58.0,13.0,61.0,53.0,1.0,2.0,0.0,58.0,204.0,849.0,108.0,711.0,163.0,437.0,45.0,186.0,1.0,344.0,504.0,148.0,385.0,1.0,17.0,17.0,35.0,2.0,4.0,0.0,0.0,0.06,172.0,152.0,194.0,95.0,0.0
AggregateStatsCache.java,18.0,0.0,15.0,3.0,3.0,3.0,3.0,2.0,16.0,122.0,122.0,0.0,6.0,1.0,2.0,27.0,0.0,27.0,26.0,30.0,27.0,50.0,5.0,5.0,0.0,17.0,223.0,573.0,37.0,414.0,144.0,247.0,122.0,323.0,1.0,219.0,296.0,133.0,200.0,1.0,12.0,12.0,13.0,2.0,6.0,0.0,0.0,0.29,70.0,70.0,77.0,42.0,0.0
BeeLine.java,13.0,1.0,10.0,2.0,3.0,3.0,3.0,2.0,10.0,187.0,187.0,1.0,3.0,9.0,16.0,122.0,0.0,122.0,113.0,23.0,122.0,260.0,81.0,9.0,3.0,29.0,1112.0,2181.0,318.0,1565.0,355.0,1035.0,326.0,1035.0,1.0,651.0,966.0,365.0,713.0,1.0,12.0,12.0,14.0,2.0,8.0,0.0,0.0,0.21,324.0,324.0,359.0,198.0,0.0
BucketingSortingOpProcFactory.java,19.0,2.0,13.0,4.0,3.0,3.0,3.0,2.0,15.0,122.0,122.0,6.0,8.0,23.0,0.0,32.0,0.0,32.0,9.0,0.0,32.0,41.0,3.0,8.0,3.0,18.0,96.0,767.0,119.0,454.0,186.0,258.0,194.0,193.0,2.5,241.0,340.0,171.0,237.0,2.5,10.0,10.0,10.0,3.0,4.0,0.0,0.0,0.43,88.0,88.0,92.0,57.0,0.0
BuddyAllocator.java,17.0,0.0,15.0,2.0,3.0,3.0,3.0,2.0,12.0,62.0,62.0,0.0,3.0,0.0,1.0,29.0,0.0,29.0,29.0,18.0,29.0,52.0,1.0,11.0,0.0,17.0,212.0,583.0,42.0,463.0,134.0,305.0,99.0,179.0,1.0,259.0,354.0,120.0,253.0,1.0,17.0,17.0,17.0,2.0,5.0,0.0,0.0,0.21,94.0,94.0,100.0,52.0,1.0
ColumnStatisticsData.java,9.0,0.0,9.0,0.0,3.0,2.0,3.0,2.0,1.0,35.0,35.0,0.0,2.0,10.0,10.0,55.0,0.0,53.0,45.0,9.0,55.0,47.0,1.0,2.0,8.0,44.0,412.0,675.0,72.0,586.0,156.0,374.0,24.0,234.0,2.0,298.0,398.0,137.0,285.0,2.0,16.0,10.0,16.0,2.0,3.0,0.0,0.0,0.04,139.0,97.0,141.0,90.0,0.0
ColumnStatisticsDesc.java,11.0,1.0,10.0,1.0,3.0,3.0,3.0,2.0,11.0,49.0,49.0,0.0,6.0,3.0,12.0,58.0,0.0,56.0,55.0,13.0,58.0,50.0,1.0,2.0,0.0,55.0,347.0,798.0,102.0,666.0,154.0,415.0,45.0,191.0,1.0,319.0,471.0,135.0,362.0,1.0,17.0,17.0,35.0,2.0,3.0,0.0,0.0,0.07,165.0,145.0,187.0,92.0,0.0
CommonJoinOperator.java,16.0,1.0,13.0,1.0,3.0,3.0,4.0,2.0,2.0,28.0,28.0,2.0,1.0,1.0,3.0,36.0,0.0,36.0,35.0,36.0,36.0,146.0,0.0,15.0,10.0,11.0,217.0,829.0,112.0,548.0,172.0,344.0,185.0,181.0,1.0,327.0,438.0,172.0,295.0,1.0,20.0,20.0,30.0,2.0,7.0,92.0,88.0,0.34,106.0,106.0,138.0,63.0,1.0
CompactionRequest.java,11.0,1.0,10.0,1.0,3.0,3.0,3.0,2.0,11.0,50.0,50.0,0.0,6.0,3.0,10.0,58.0,0.0,56.0,55.0,12.0,58.0,50.0,1.0,2.0,0.0,55.0,221.0,819.0,102.0,676.0,151.0,417.0,56.0,189.0,1.0,311.0,471.0,132.0,368.0,1.0,17.0,17.0,37.0,2.0,3.0,0.0,0.0,0.08,173.0,153.0,198.0,92.0,0.0
Database.java,13.0,1.0,12.0,1.0,3.0,3.0,4.0,2.0,68.0,337.0,337.0,2.0,6.0,3.0,12.0,70.0,0.0,68.0,67.0,16.0,70.0,847.0,1.0,2.0,0.0,67.0,2377.0,1095.0,119.0,933.0,183.0,589.0,64.0,2465.0,1.0,427.0,649.0,165.0,524.0,1.0,23.0,23.0,51.0,3.0,4.0,40.0,33.0,0.07,244.0,214.0,279.0,116.0,0.0
