Name,AvgCountLine,AvgCountLineBlank,AvgCountLineComment,AvgCyclomatic,AvgEssential,CountClassBase,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclInstanceVariable,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountLine,CountLineBlank,CountLineComment,CountPath,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,Bugs
AlterTableEvent.java,6.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,48.0,7.0,23.0,1.0,1.0,1.0,2.0,0.0,33.0,1.28,3.0,0.0
AlterTableExchangePartition.java,4.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,7.0,0.0,3.0,0.0,0.0,0.0,67.0,14.0,20.0,1.0,1.0,1.0,2.0,0.0,57.0,0.61,7.0,0.0
AlterTableMessage.java,4.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,37.0,4.0,21.0,1.0,1.0,2.0,3.0,1.0,37.5,1.75,3.0,0.0
AlterTablePartMergeFilesDesc.java,4.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,13.0,0.0,6.0,0.0,0.0,0.0,105.0,21.0,24.0,1.0,1.0,1.0,1.0,0.0,82.0,0.39,13.0,0.0
AlterTableReplicationTask.java,12.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,85.0,8.0,19.0,1.0,1.0,1.0,2.0,0.0,25.0,0.32,4.0,0.0
AlterTableSimpleDesc.java,6.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,10.0,0.0,4.0,0.0,0.0,0.0,102.0,16.0,35.0,1.0,1.0,2.0,2.0,1.0,65.0,0.69,11.0,0.0
AlternateFailurePreListener.java,6.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,62.0,9.0,26.0,1.5,1.5,2.0,2.0,1.0,50.0,0.96,4.0,0.0
AmbiguousMethodException.java,16.0,0.0,10.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,51.0,6.0,32.0,0.0,0.0,1.0,5.0,0.0,0.0,2.46,1.0,0.0
AnnotateOpTraitsProcCtx.java,4.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,55.0,10.0,17.0,1.0,1.0,2.0,1.0,1.0,60.0,0.61,6.0,0.0
AnnotateStatsProcCtx.java,4.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,7.0,0.0,3.0,0.0,0.0,0.0,65.0,12.0,17.0,1.0,1.0,2.0,1.0,1.0,71.0,0.47,8.0,0.0
AnnotateWithOpTraits.java,41.0,4.0,5.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,96.0,10.0,26.0,1.0,1.0,1.0,2.0,0.0,0.0,0.43,1.0,0.0
AnnotateWithStatistics.java,35.0,4.0,5.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,82.0,9.0,22.0,1.0,1.0,1.0,2.0,0.0,0.0,0.43,1.0,0.0
AnnotationUtils.java,5.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,39.0,5.0,19.0,1.0,1.0,1.0,1.0,0.0,0.0,1.27,2.0,0.0
AnonymousAuthenticationProviderImpl.java,4.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,33.0,5.0,21.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0
AppMasterEventDesc.java,3.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,7.0,0.0,3.0,0.0,0.0,0.0,63.0,13.0,18.0,1.0,1.0,1.0,2.0,0.0,71.0,0.56,7.0,0.0
AppMasterEventOperator.java,11.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,9.0,0.0,4.0,0.0,0.0,2.0,160.0,25.0,27.0,1.0,1.0,6.0,3.0,3.0,72.5,0.25,18.0,1.0
AppMasterEventProcessor.java,21.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,63.0,8.0,24.0,2.0,2.0,2.0,1.0,1.0,0.0,0.77,2.0,0.0
