Name,AvgCountLine,AvgCountLineBlank,AvgCountLineComment,AvgCyclomatic,AvgEssential,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclMethodDefault,MaxCyclomatic,MaxInheritanceTree,PercentLackOfCohesion,RatioCommentToCode,CountInputMin,CountInputMean,CountInputMax,CountOutputMin,CountOutputMean,CountOutputMax,"CountPathMin-divided-by-1,000","CountPathMean-divided-by-1,000,000","CountPathMax-divided-by-1,000,000",MaxNestingMin,MaxNestingMean,MaxNestingMax,Bugs
HCatAuthUtil.java,20.0,0.0,7.0,3.0,3.0,1.3333333333333333,8.666666666666666,0.0,1.0,1.0,0.0,3.0,1.0,0.0,1.09,0.0,2.8,9.0,2.0,6.2,8.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0
HCatBaseInputFormat.java,31.0,3.0,7.0,4.0,2.0,1.0,46.0,1.0,1.0,6.0,0.0,12.0,2.0,100.0,0.41,3.0,5.888888888888889,13.0,2.0,10.444444444444445,23.0,0.0,0.0,0.0,0.0,1.3333333333333333,3.0,1.0
HCatBaseLoader.java,11.0,1.0,2.0,2.0,1.0,3.0,26.0,1.0,1.0,1.0,0.0,6.0,2.0,79.0,0.38,0.0,2.625,6.0,1.0,2.875,8.0,0.0,0.0,0.0,0.0,0.75,5.0,0.0
HCatBaseOutputFormat.java,23.0,1.0,8.0,3.0,1.0,1.0,25.0,1.0,1.0,6.0,2.0,6.0,2.0,0.0,0.63,3.0,6.125,18.0,1.0,7.625,17.0,0.0,0.0,0.0,0.0,1.25,3.0,1.0
HCatBaseStorer.java,22.0,1.0,3.0,5.0,3.0,1.5,33.5,0.5,3.0,4.0,1.0,34.0,1.5,45.5,0.21,0.0,8.238095238095237,37.0,0.0,7.428571428571429,49.0,0.0,0.0,0.0,0.0,1.1904761904761905,4.0,0.0
HCatBaseTest.java,10.0,0.0,2.0,2.0,1.0,1.0,26.0,12.0,1.0,2.0,0.0,2.0,1.0,78.0,0.38,2.0,6.333333333333333,12.0,1.0,4.333333333333333,7.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0
HCatCli.java,38.0,6.0,4.0,5.0,2.0,1.3333333333333333,25.58333333333333,0.0833333333333333,1.0,8.0,0.0,13.0,1.25,27.58333333333333,0.18,0.0,5.241830065359477,28.0,0.0,8.34640522875817,60.0,0.0,0.0,0.0,0.0,0.673202614379085,3.0,0.0
HCatClient.java,10.0,0.0,2.0,2.0,0.0,1.3636363636363635,23.727272727272727,0.0909090909090909,2.0,1.0,1.0,5.0,1.2727272727272727,22.09090909090909,2.69,0.0,5.201388888888889,28.0,0.0,8.118055555555555,60.0,0.0,0.0,0.0,0.0,0.6319444444444444,3.0,0.0
HCatClientHMSImpl.java,16.0,0.0,0.0,3.0,1.0,1.0,30.33333333333333,0.0,3.0,2.0,1.0,9.0,1.6666666666666667,47.333333333333336,0.06,1.0,5.56140350877193,15.0,1.0,5.912280701754386,22.0,0.0,0.0,0.0,0.0,1.087719298245614,3.0,0.0
HCatConstants.java,2.0,0.0,1.0,1.0,1.0,1.0,6.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
